,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
626,Phoenix,Storm Spirit,Rubick,Brewmaster,Windranger,Huskar,Dark Seer,Crystal Maiden,Marci,Monkey King,Lifestealer,Puck,Snapfire,Tiny,Weaver,Chaos Knight,Pangolier,Ursa,Troll Warlord,Mars,Beastmaster,Shadow Fiend,Hoodwink,Spirit Breaker,nouns vs Azure Ray,Riyadh Masters 2024: Play
627,Pangolier,Phoenix,Dragon Knight,Rubick,Troll Warlord,Spirit Breaker,Dark Seer,Marci,Primal Beast,Gyrocopter,Monkey King,Keeper of the Light,Grimstroke,Weaver,Enigma,Tiny,Witch Doctor,Windranger,Ursa,Morphling,Sven,Templar Assassin,Shadow Fiend,Hoodwink,Virtus.pro vs MOUZ,Riyadh Masters 2024: Play
628,Primal Beast,Phoenix,Sven,Invoker,Dark Willow,Puck,Underlord,Snapfire,Rubick,Monkey King,Void Spirit,Dragon Knight,Dark Seer,Beastmaster,Templar Assassin,Shadow Fiend,Hoodwink,Faceless Void,Ursa,Windranger,Gyrocopter,Enigma,Witch Doctor,Tiny,Virtus.pro vs MOUZ,Riyadh Masters 2024: Play
629,Shadow Fiend,Hoodwink,Elder Titan,Templar Assassin,Underlord,Lifestealer,Shadow Demon,Mars,Keeper of the Light,Spirit Breaker,Ursa,Troll Warlord,Snapfire,Windranger,Tiny,Weaver,Beastmaster,Centaur Warrunner,Pangolier,Clockwerk,Dark Seer,Monkey King,Phoenix,Enigma,nouns vs LGD Gaming,Riyadh Masters 2024: Play
630,Weaver,Shadow Demon,Mars,Ember Spirit,Troll Warlord,Pudge,Templar Assassin,Pangolier,Sven,Hoodwink,Tinker,Huskar,Meepo,Chaos Knight,Rubick,Enigma,Phoenix,Morphling,Terrorblade,Dark Seer,Shadow Fiend,Monkey King,Beastmaster,Tiny,nouns vs LGD Gaming,Riyadh Masters 2024: Play
631,Pangolier,Pugna,Witch Doctor,Dark Seer,Medusa,Timbersaw,Sven,Dragon Knight,Hoodwink,Batrider,Doom,Brewmaster,Bloodseeker,Shadow Demon,Disruptor,Io,Razor,Luna,Lifestealer,Gyrocopter,Clinkz,Enchantress,Primal Beast,Keeper of the Light,Aurora vs MOUZ,PGL Wallachia Season 1 
632,Batrider,Dragon Knight,Hoodwink,Bloodseeker,Huskar,Gyrocopter,Enigma,Tiny,Witch Doctor,Primal Beast,Sven,Luna,Clinkz,Keeper of the Light,Io,Disruptor,Shadow Demon,Morphling,Medusa,Templar Assassin,Lifestealer,Razor,Pangolier,Timbersaw,Aurora vs MOUZ,PGL Wallachia Season 1 
633,Keeper of the Light,Tiny,Venomancer,Alchemist,Viper,Lifestealer,Puck,Phoenix,Dark Willow,Centaur Warrunner,Naga Siren,Faceless Void,Batrider,Templar Assassin,Pangolier,Razor,Timbersaw,Dark Seer,Enigma,Witch Doctor,Shadow Demon,Primal Beast,Io,Disruptor,Aurora vs MOUZ,PGL Wallachia Season 1 
634,Centaur Warrunner,Mirana,Tiny,Sven,Lina,Leshrac,Slardar,Gyrocopter,Io,Shadow Demon,Sniper,Zeus,Lifestealer,Razor,Kunkka,Chen,Disruptor,Viper,Keeper of the Light,Enchantress,Meepo,Timbersaw,Pangolier,Monkey King,Azure Ray vs Nouns,PGL Wallachia Season 1 
635,Clockwerk,Techies,Clinkz,Slardar,Timbersaw,Dragon Knight,Terrorblade,Dark Willow,Mirana,Primal Beast,Monkey King,Huskar,Meepo,Pangolier,Kunkka,Chen,Disruptor,Brewmaster,Dark Seer,Weaver,Death Prophet,Shadow Demon,Tiny,Razor,Azure Ray vs Nouns,PGL Wallachia Season 1 
636,Shadow Demon,Doom,Gyrocopter,Crystal Maiden,Timbersaw,Lycan,Drow Ranger,Techies,Tiny,Kunkka,Sniper,Zeus,Medusa,Clinkz,Razor,Disruptor,Chen,Huskar,Shadow Fiend,Meepo,Centaur Warrunner,Lifestealer,Pangolier,Monkey King,Azure Ray vs Nouns,PGL Wallachia Season 1 
637,Pangolier,Hoodwink,Clockwerk,Clinkz,Zeus,Morphling,Batrider,Tiny,Bane,Keeper of the Light,Terrorblade,Faceless Void,Bloodseeker,Gyrocopter,Enigma,Disruptor,Chen,Doom,Brewmaster,Tusk,Enchantress,Shadow Demon,Kunkka,Io,BetBoom Team vs Shopify Rebellion,PGL Wallachia Season 1 
638,Bane,Enigma,Tiny,Sniper,Faceless Void,Naga Siren,Mars,Shadow Demon,Rubick,Pangolier,Alchemist,Sven,Enchantress,Kunkka,Io,Disruptor,Chen,Lifestealer,Morphling,Timbersaw,Dragon Knight,Bloodseeker,Gyrocopter,Keeper of the Light,BetBoom Team vs Shopify Rebellion,PGL Wallachia Season 1 
639,Pangolier,Techies,Tiny,Medusa,Hoodwink,Sniper,Marci,Gyrocopter,Slardar,Bane,Anti-Mage,Dark Seer,Puck,Primal Beast,Grimstroke,Lifestealer,Razor,Doom,Keeper of the Light,Morphling,Chen,Kunkka,Shadow Demon,Disruptor,Xtreme Gaming vs BOOM Esports,PGL Wallachia Season 1 
640,Pangolier,Enchantress,Hoodwink,Brewmaster,Luna,Juggernaut,Marci,Primal Beast,Grimstroke,Bloodseeker,Weaver,Sven,Gyrocopter,Sniper,Bane,Lifestealer,Razor,Faceless Void,Monkey King,Morphling,Chen,Kunkka,Shadow Demon,Disruptor,Xtreme Gaming vs BOOM Esports,PGL Wallachia Season 1 
641,Keeper of the Light,Bane,Techies,Dragon Knight,Terrorblade,Razor,Mars,Clockwerk,Storm Spirit,Io,Luna,Slark,Marci,Shadow Demon,Enchantress,Disruptor,Chen,Morphling,Faceless Void,Doom,Bristleback,Kunkka,Pangolier,Timbersaw,Team Spirit vs Virtus.pro,PGL Wallachia Season 1 
642,Batrider,Doom,Dark Willow,Windranger,Sniper,Mars,Naga Siren,Razor,Spirit Breaker,Enchantress,Bristleback,Kunkka,Medusa,Pangolier,Io,Chen,Disruptor,Zeus,Timbersaw,Primal Beast,Centaur Warrunner,Shadow Demon,Magnus,Dragon Knight,Team Spirit vs Virtus.pro,PGL Wallachia Season 1 
643,Kunkka,Clockwerk,Techies,Clinkz,Zeus,Ember Spirit,Luna,Enchantress,Hoodwink,Doom,Puck,Keeper of the Light,Tusk,Oracle,Shadow Demon,Templar Assassin,Disruptor,Centaur Warrunner,Dark Seer,Razor,Pangolier,Magnus,Io,Chen,Team Liquid vs G2 x iG,PGL Wallachia Season 1 
644,Doom,Mirana,Rubick,Weaver,Ember Spirit,Chaos Knight,Techies,Kunkka,Hoodwink,Razor,Medusa,Faceless Void,Centaur Warrunner,Enigma,Pangolier,Slardar,Magnus,Puck,Keeper of the Light,Enchantress,Templar Assassin,Disruptor,Chen,Io,Team Liquid vs G2 x iG,PGL Wallachia Season 1 
645,Pangolier,Weaver,Earthshaker,Winter Wyvern,Viper,Zeus,Sven,Clockwerk,Chen,Razor,Earth Spirit,Night Stalker,Tiny,Gyrocopter,Bloodseeker,Doom,Dragon Knight,Timbersaw,Slardar,Faceless Void,Leshrac,Keeper of the Light,Disruptor,Enchantress,Team Falcons vs HEROIC,PGL Wallachia Season 1 
646,Razor,Earthshaker,Phoenix,Sven,Earth Spirit,Monkey King,Chaos Knight,Centaur Warrunner,Shadow Demon,Chen,Primal Beast,Zeus,Mars,Weaver,Pangolier,Doom,Dragon Knight,Puck,Timbersaw,Lifestealer,Keeper of the Light,Leshrac,Disruptor,Enchantress,Team Falcons vs HEROIC,PGL Wallachia Season 1 
647,Mars,Shadow Demon,Zeus,Batrider,Luna,Faceless Void,Brewmaster,Hoodwink,Clockwerk,Keeper of the Light,Chaos Knight,Clinkz,Tusk,Disruptor,Chen,Io,Pangolier,Lifestealer,Morphling,Weaver,Templar Assassin,Kunkka,Razor,Monkey King,Gaimin Gladiators vs Team Secret,PGL Wallachia Season 1 
648,Enchantress,Beastmaster,Clinkz,Dark Willow,Leshrac,Earth Spirit,Kunkka,Gyrocopter,Batrider,Monkey King,Zeus,Sniper,Crystal Maiden,Disruptor,Razor,Keeper of the Light,Chen,Huskar,Puck,Enigma,Brewmaster,Viper,Io,Pangolier,Gaimin Gladiators vs Team Secret,PGL Wallachia Season 1 
649,Gyrocopter,Tiny,Sniper,Lifestealer,Beastmaster,Drow Ranger,Centaur Warrunner,Timbersaw,Batrider,Shadow Demon,Monkey King,Morphling,Luna,Enchantress,Dragon Knight,Io,Razor,Doom,Visage,Enigma,Bane,Keeper of the Light,Disruptor,Chen,BetBoom Team vs Aurora,PGL Wallachia Season 1 
650,Enigma,Enchantress,Pangolier,Nyx Assassin,Faceless Void,Timbersaw,Templar Assassin,Centaur Warrunner,Clinkz,Shadow Demon,Sven,Naga Siren,Gyrocopter,Dragon Knight,Disruptor,Io,Razor,Morphling,Phantom Lancer,Tusk,Tiny,Chen,Bane,Keeper of the Light,BetBoom Team vs Aurora,PGL Wallachia Season 1 
651,Io,Gyrocopter,Rubick,Viper,Dragon Knight,Shadow Fiend,Bristleback,Primal Beast,Marci,Bane,Keeper of the Light,Sniper,Mars,Centaur Warrunner,Pangolier,Slardar,Razor,Kunkka,Puck,Templar Assassin,Oracle,Doom,Disruptor,Chen,Team Liquid vs Xtreme Gaming,PGL Wallachia Season 1 
652,Pangolier,Enchantress,Earthshaker,Drow Ranger,Zeus,Ember Spirit,Luna,Bounty Hunter,Mirana,Doom,Storm Spirit,Puck,Vengeful Spirit,Grimstroke,Bloodseeker,Oracle,Templar Assassin,Dark Seer,Primal Beast,Marci,Razor,Bane,Slardar,Disruptor,Team Liquid vs Xtreme Gaming,PGL Wallachia Season 1 
653,Pangolier,Hoodwink,Oracle,Mars,Sven,Timbersaw,Crystal Maiden,Gyrocopter,Grimstroke,Primal Beast,Slardar,Brewmaster,Enchantress,Templar Assassin,Bloodseeker,Centaur Warrunner,Disruptor,Lifestealer,Chaos Knight,Shadow Demon,Dragon Knight,Doom,Chen,Razor,Team Falcons vs Nouns,PGL Wallachia Season 1 
654,Pangolier,Undying,Dark Willow,Medusa,Tiny,Ember Spirit,Crystal Maiden,Weaver,Hoodwink,Doom,Dazzle,Anti-Mage,Monkey King,Gyrocopter,Bloodseeker,Dragon Knight,Razor,Mars,Centaur Warrunner,Kunkka,Timbersaw,Primal Beast,Disruptor,Chen,Team Falcons vs Nouns,PGL Wallachia Season 1 
655,Pangolier,Mirana,Rubick,Ursa,Mars,Slardar,Batrider,Weaver,Crystal Maiden,Doom,Ember Spirit,Monkey King,Hoodwink,Gyrocopter,Bloodseeker,Dragon Knight,Razor,Kunkka,Centaur Warrunner,Wraith King,Timbersaw,Primal Beast,Disruptor,Chen,Team Falcons vs Nouns,PGL Wallachia Season 1 
656,Clinkz,Bane,Lifestealer,Doom,Dragon Knight,Razor,Slark,Mars,Dark Willow,Enchantress,Zeus,Sniper,Faceless Void,Keeper of the Light,Disruptor,Io,Chen,Lina,Puck,Clockwerk,Crystal Maiden,Leshrac,Pangolier,Timbersaw,Gaimin Gladiators vs Team Spirit,PGL Wallachia Season 1 
657,Keeper of the Light,Clockwerk,Shadow Demon,Clinkz,Enigma,Enchantress,Puck,Lifestealer,Centaur Warrunner,Bane,Hoodwink,Dark Willow,Weaver,Faceless Void,Pangolier,Sniper,Doom,Beastmaster,Tidehunter,Slardar,Batrider,Io,Disruptor,Chen,Gaimin Gladiators vs Team Spirit,PGL Wallachia Season 1 
658,Pangolier,Enchantress,Hoodwink,Broodmother,Clinkz,Leshrac,Windranger,Doom,Clockwerk,Bane,Naga Siren,Keeper of the Light,Templar Assassin,Puck,Primal Beast,Sniper,Bloodseeker,Chaos Knight,Monkey King,Shadow Demon,Batrider,Io,Disruptor,Chen,Gaimin Gladiators vs Team Spirit,PGL Wallachia Season 1 
659,Centaur Warrunner,Hoodwink,Lifestealer,Venomancer,Storm Spirit,Pugna,Luna,Tiny,Primal Beast,Keeper of the Light,Clockwerk,Bane,Witch Doctor,Razor,Io,Disruptor,Chen,Puck,Templar Assassin,Pangolier,Shadow Demon,Timbersaw,Slardar,Kunkka,Azure Ray vs MOUZ,PGL Wallachia Season 1 
660,Clockwerk,Crystal Maiden,Enigma,Zeus,Faceless Void,Templar Assassin,Bristleback,Witch Doctor,Shadow Demon,Primal Beast,Dark Seer,Viper,Gyrocopter,Keeper of the Light,Io,Disruptor,Chen,Alchemist,Lifestealer,Clinkz,Timbersaw,Slardar,Razor,Kunkka,Azure Ray vs MOUZ,PGL Wallachia Season 1 
661,Centaur Warrunner,Shadow Demon,Luna,Skywrath Mage,Puck,Chaos Knight,Enigma,Hoodwink,Tusk,Pangolier,Lifestealer,Sven,Enchantress,Morphling,Disruptor,Io,Chen,Ember Spirit,Huskar,Techies,Templar Assassin,Bloodseeker,Bane,Keeper of the Light,Shopify Rebellion vs Virtus.pro,PGL Wallachia Season 1 
662,Pangolier,Batrider,Hoodwink,Sven,Razor,Lifestealer,Centaur Warrunner,Rubick,Mirana,Templar Assassin,Sniper,Faceless Void,Techies,Enigma,Bloodseeker,Bane,Keeper of the Light,Dragon Knight,Viper,Enchantress,Naga Siren,Disruptor,Io,Chen,Shopify Rebellion vs Virtus.pro,PGL Wallachia Season 1 
663,Dragon Knight,Shadow Demon,Rubick,Mars,Zeus,Terrorblade,Leshrac,Hoodwink,Tusk,Pangolier,Lifestealer,Chaos Knight,Enchantress,Naga Siren,Disruptor,Io,Chen,Morphling,Sniper,Techies,Bane,Bloodseeker,Templar Assassin,Keeper of the Light,Shopify Rebellion vs Virtus.pro,PGL Wallachia Season 1 
664,Primal Beast,Gyrocopter,Techies,Tiny,Dark Seer,Underlord,Faceless Void,Dark Willow,Pangolier,Bane,Puck,Zeus,Lifestealer,Disruptor,Leshrac,Keeper of the Light,Kunkka,Night Stalker,Enigma,Rubick,Morphling,Clockwerk,Shadow Demon,Grimstroke,HEROIC vs BOOM Esports,PGL Wallachia Season 1 
665,Lifestealer,Clockwerk,Primal Beast,Nature's Prophet,Sniper,Bane,Puck,Slardar,Io,Gyrocopter,Troll Warlord,Morphling,Enigma,Kunkka,Pangolier,Disruptor,Shadow Demon,Razor,Dragon Knight,Zeus,Enchantress,Faceless Void,Leshrac,Keeper of the Light,HEROIC vs BOOM Esports,PGL Wallachia Season 1 
666,Bane,Clockwerk,Sniper,Clinkz,Doom,Luna,Brewmaster,Enchantress,Disruptor,Pangolier,Faceless Void,Chaos Knight,Kunkka,Morphling,Magnus,Chen,Slardar,Enigma,Mars,Mirana,Primal Beast,Bloodseeker,Razor,Monkey King,G2 x iG vs Team Secret,PGL Wallachia Season 1 
667,Keeper of the Light,Batrider,Treant Protector,Medusa,Centaur Warrunner,Weaver,Dark Willow,Faceless Void,Enchantress,Doom,Dark Seer,Anti-Mage,Timbersaw,Hoodwink,Pangolier,Slardar,Magnus,Enigma,Beastmaster,Clockwerk,Disruptor,Monkey King,Razor,Chen,G2 x iG vs Team Secret,PGL Wallachia Season 1 
668,Io,Dragon Knight,Rubick,Lifestealer,Sniper,Magnus,Crystal Maiden,Gyrocopter,Shadow Demon,Kunkka,Timbersaw,Templar Assassin,Hoodwink,Enchantress,Disruptor,Pangolier,Slardar,Puck,Mars,Marci,Monkey King,Keeper of the Light,Razor,Chen,G2 x iG vs Team Secret,PGL Wallachia Season 1 
669,Slardar,Phoenix,Faceless Void,Grimstroke,Storm Spirit,Sniper,Doom,Batrider,Io,Razor,Troll Warlord,Gyrocopter,Kunkka,Dragon Knight,Chen,Disruptor,Shadow Demon,Zeus,Centaur Warrunner,Enchantress,Clinkz,Primal Beast,Marci,Bane,Xtreme Gaming vs Aurora,PGL Wallachia Season 1 
670,Bane,Doom,Muerta,Zeus,Spectre,Night Stalker,Tiny,Drow Ranger,Timbersaw,Shadow Demon,Viper,Enigma,Kunkka,Centaur Warrunner,Chen,Templar Assassin,Dragon Knight,Clinkz,Faceless Void,Marci,Primal Beast,Slardar,Razor,Disruptor,Xtreme Gaming vs Aurora,PGL Wallachia Season 1 
671,Sniper,Crystal Maiden,Clockwerk,Weaver,Brewmaster,Sven,Earth Spirit,Razor,Enchantress,Dragon Knight,Lifestealer,Faceless Void,Shadow Demon,Mirana,Keeper of the Light,Hoodwink,Doom,Magnus,Centaur Warrunner,Clinkz,Pangolier,Io,Disruptor,Chen,Gaimin Gladiators vs Team Falcons,PGL Wallachia Season 1 
672,Zeus,Enchantress,Dragon Knight,Dark Willow,Timbersaw,Pudge,Clinkz,Clockwerk,Crystal Maiden,Sniper,Primal Beast,Tidehunter,Brewmaster,Pangolier,Io,Disruptor,Chen,Ursa,Mars,Centaur Warrunner,Mirana,Keeper of the Light,Hoodwink,Doom,Gaimin Gladiators vs Team Falcons,PGL Wallachia Season 1 
673,Pangolier,Clockwerk,Gyrocopter,Razor,Venomancer,Faceless Void,Kunkka,Dark Willow,Enchantress,Templar Assassin,Chaos Knight,Weaver,Crystal Maiden,Primal Beast,Bloodseeker,Disruptor,Io,Shadow Demon,Lifestealer,Clinkz,Hoodwink,Dragon Knight,Doom,Chen,Gaimin Gladiators vs Team Falcons,PGL Wallachia Season 1 
674,Pangolier,Brewmaster,Dark Willow,Morphling,Crystal Maiden,Tidehunter,Razor,Hoodwink,Tusk,Templar Assassin,Enigma,Slardar,Weaver,Bane,Bloodseeker,Kunkka,Shadow Demon,Venomancer,Enchantress,Batrider,Io,Doom,Disruptor,Chen,Team Liquid vs Shopify Rebellion,PGL Wallachia Season 1 
675,Tusk,Gyrocopter,Oracle,Leshrac,Mars,Lina,Marci,Enigma,Weaver,Brewmaster,Razor,Sniper,Luna,Enchantress,Tiny,Templar Assassin,Doom,Kunkka,Slardar,Hoodwink,Pangolier,Io,Chen,Disruptor,Team Liquid vs Shopify Rebellion,PGL Wallachia Season 1 
676,Doom,Lion,Mirana,Sniper,Morphling,Slardar,Chaos Knight,Templar Assassin,Clockwerk,Shadow Demon,Viper,Dark Seer,Enigma,Primal Beast,Keeper of the Light,Io,Disruptor,Naga Siren,Lifestealer,Faceless Void,Rubick,Tiny,Chen,Bane,BetBoom Team vs MOUZ,PGL Wallachia Season 1 
677,Witch Doctor,Bounty Hunter,Sven,Dark Seer,Zeus,Dragon Knight,Morphling,Clockwerk,Pugna,Doom,Timbersaw,Razor,Sniper,Shadow Demon,Bane,Disruptor,Keeper of the Light,Templar Assassin,Puck,Medusa,Enigma,Pangolier,Primal Beast,Io,BetBoom Team vs MOUZ,PGL Wallachia Season 1 
678,Shadow Demon,Centaur Warrunner,Gyrocopter,Crystal Maiden,Death Prophet,Magnus,Sven,Dark Willow,Kunkka,Batrider,Zeus,Sniper,Enchantress,Mars,Io,Disruptor,Chen,Dragon Knight,Keeper of the Light,Doom,Lifestealer,Pangolier,Primal Beast,Timbersaw,Team Spirit vs Nouns,PGL Wallachia Season 1 
679,Shadow Demon,Mars,Dark Willow,Weaver,Lina,Dragon Knight,Luna,Phoenix,Hoodwink,Centaur Warrunner,Templar Assassin,Puck,Enchantress,Lifestealer,Pangolier,Primal Beast,Timbersaw,Sniper,Zeus,Kunkka,Batrider,Io,Disruptor,Chen,Team Spirit vs Nouns,PGL Wallachia Season 1 
680,Kunkka,Tusk,Oracle,Monkey King,Windranger,Leshrac,Enigma,Dragon Knight,Phoenix,Disruptor,Luna,Faceless Void,Morphling,Pangolier,Timbersaw,Shadow Demon,Gyrocopter,Zeus,Naga Siren,Sniper,Enchantress,Chen,Keeper of the Light,Razor,Team Secret vs BOOM Esports,PGL Wallachia Season 1 
681,Enigma,Tusk,Disruptor,Zeus,Weaver,Mars,Templar Assassin,Clockwerk,Shadow Demon,Razor,Centaur Warrunner,Brewmaster,Naga Siren,Kunkka,Keeper of the Light,Enchantress,Chen,Chaos Knight,Faceless Void,Morphling,Tiny,Pangolier,Techies,Gyrocopter,Team Secret vs BOOM Esports,PGL Wallachia Season 1 
682,Keeper of the Light,Clockwerk,Brewmaster,Batrider,Bloodseeker,Juggernaut,Puck,Dark Willow,Techies,Kunkka,Weaver,Faceless Void,Morphling,Pangolier,Timbersaw,Disruptor,Gyrocopter,Medusa,Templar Assassin,Shadow Demon,Lifestealer,Chen,Monkey King,Razor,Team Secret vs BOOM Esports,PGL Wallachia Season 1 
683,Vengeful Spirit,Doom,Sven,Batrider,Bloodseeker,Pangolier,Centaur Warrunner,Bane,Marci,Razor,Anti-Mage,Medusa,Luna,Keeper of the Light,Magnus,Disruptor,Chen,Templar Assassin,Zeus,Clinkz,Weaver,Shadow Demon,Slardar,Io,Azure Ray vs G2 x iG,PGL Wallachia Season 1 
684,Clinkz,Batrider,Primal Beast,Enchantress,Leshrac,Timbersaw,Weaver,Crystal Maiden,Tiny,Doom,Puck,Zeus,Shadow Demon,Disruptor,Chen,Keeper of the Light,Magnus,Night Stalker,Dragon Knight,Vengeful Spirit,Clockwerk,Centaur Warrunner,Razor,Slardar,Azure Ray vs G2 x iG,PGL Wallachia Season 1 
685,Razor,Clockwerk,Dark Willow,Centaur Warrunner,Kunkka,Enigma,Batrider,Morphling,Slardar,Enchantress,Timbersaw,Pangolier,Faceless Void,Weaver,Vengeful Spirit,Magnus,Keeper of the Light,Zeus,Troll Warlord,Naga Siren,Doom,Disruptor,Io,Chen,Azure Ray vs G2 x iG,PGL Wallachia Season 1 
686,Pangolier,Gyrocopter,Venomancer,Doom,Hoodwink,Viper,Windranger,Chen,Tiny,Leshrac,Mars,Razor,Centaur Warrunner,Bloodseeker,Dragon Knight,Bane,Templar Assassin,Chaos Knight,Sven,Io,Enchantress,Timbersaw,Disruptor,Keeper of the Light,HEROIC vs Virtus.pro,PGL Wallachia Season 1 
687,Windranger,Crystal Maiden,Batrider,Alchemist,Magnus,Winter Wyvern,Sven,Clockwerk,Pugna,Leshrac,Dark Seer,Doom,Io,Timbersaw,Pangolier,Disruptor,Keeper of the Light,Centaur Warrunner,Viper,Tiny,Shadow Demon,Razor,Chen,Templar Assassin,HEROIC vs Virtus.pro,PGL Wallachia Season 1 
688,Shadow Demon,Mars,Tiny,Zeus,Monkey King,Templar Assassin,Lifestealer,Enchantress,Lion,Magnus,Storm Spirit,Pangolier,Faceless Void,Kunkka,Doom,Disruptor,Chen,Terrorblade,Morphling,Centaur Warrunner,Gyrocopter,Rubick,Primal Beast,Timbersaw,nouns vs G2 x iG,PGL Wallachia Season 1 
689,Slardar,Enchantress,Marci,Brewmaster,Morphling,Storm Spirit,Chaos Knight,Clockwerk,Kunkka,Phoenix,Keeper of the Light,Sniper,Luna,Gyrocopter,Shadow Demon,Timbersaw,Primal Beast,Razor,Io,Lifestealer,Magnus,Doom,Disruptor,Chen,nouns vs G2 x iG,PGL Wallachia Season 1 
690,Templar Assassin,Witch Doctor,Earthshaker,Timbersaw,Bristleback,Monkey King,Sniper,Hoodwink,Enchantress,Pangolier,Faceless Void,Weaver,Luna,Doom,Chen,Disruptor,Io,Alchemist,Chaos Knight,Tiny,Bane,Bloodseeker,Keeper of the Light,Primal Beast,Team Liquid vs MOUZ,PGL Wallachia Season 1 
691,Doom,Enchantress,Witch Doctor,Gyrocopter,Pangolier,Bloodseeker,Batrider,Clockwerk,Oracle,Templar Assassin,Razor,Puck,Tiny,Sniper,Shadow Demon,Brewmaster,Chen,Dragon Knight,Leshrac,Hoodwink,Io,Disruptor,Keeper of the Light,Primal Beast,Team Liquid vs MOUZ,PGL Wallachia Season 1 
692,Pangolier,Rubick,Io,Muerta,Keeper of the Light,Mars,Gyrocopter,Marci,Disruptor,Leshrac,Broodmother,Kunkka,Tusk,Bane,Bloodseeker,Tiny,Templar Assassin,Dragon Knight,Slardar,Shadow Demon,Monkey King,Enchantress,Razor,Chen,Team Secret vs Virtus.pro,PGL Wallachia Season 1 
693,Batrider,Centaur Warrunner,Mirana,Lifestealer,Viper,Weaver,Rubick,Mars,Clockwerk,Keeper of the Light,Medusa,Morphling,Disruptor,Io,Shadow Demon,Bane,Razor,Ember Spirit,Puck,Templar Assassin,Enchantress,Pangolier,Tiny,Chen,Team Secret vs Virtus.pro,PGL Wallachia Season 1 
694,Batrider,Centaur Warrunner,Chaos Knight,Rubick,Lina,Lifestealer,Timbersaw,Dragon Knight,Hoodwink,Disruptor,Medusa,Monkey King,Io,Pangolier,Enchantress,Razor,Chen,Huskar,Leshrac,Viper,Windranger,Shadow Demon,Templar Assassin,Tiny,Team Secret vs Virtus.pro,PGL Wallachia Season 1 
695,Razor,Elder Titan,Hoodwink,Tidehunter,Morphling,Luna,Storm Spirit,Mars,Bane,Io,Anti-Mage,Muerta,Leshrac,Marci,Windranger,Pangolier,Tusk,Huskar,Templar Assassin,Tiny,Centaur Warrunner,Shadow Demon,Disruptor,Chen,Aurora vs Shopify Rebellion,PGL Wallachia Season 1 
696,Centaur Warrunner,Hoodwink,Zeus,Nature's Prophet,Terrorblade,Sven,Mars,Bane,Elder Titan,Leshrac,Gyrocopter,Bristleback,Lifestealer,Tusk,Io,Disruptor,Chen,Morphling,Faceless Void,Shadow Demon,Keeper of the Light,Razor,Timbersaw,Templar Assassin,Aurora vs Shopify Rebellion,PGL Wallachia Season 1 
697,Templar Assassin,Treant Protector,Hoodwink,Doom,Dark Seer,Centaur Warrunner,Medusa,Phoenix,Dark Willow,Pangolier,Keeper of the Light,Brewmaster,Enigma,Kunkka,Io,Disruptor,Gyrocopter,Lifestealer,Sniper,Primal Beast,Bane,Bloodseeker,Enchantress,Chen,Gaimin Gladiators vs BOOM Esports,PGL Wallachia Season 1 
698,Bane,Sniper,Clinkz,Clockwerk,Brewmaster,Mirana,Sven,Zeus,Dark Willow,Kunkka,Venomancer,Techies,Keeper of the Light,Io,Pangolier,Gyrocopter,Disruptor,Doom,Slardar,Monkey King,Lifestealer,Timbersaw,Enchantress,Chen,Gaimin Gladiators vs BOOM Esports,PGL Wallachia Season 1 
699,Centaur Warrunner,Clockwerk,Weaver,Zeus,Morphling,Bristleback,Slardar,Hoodwink,Leshrac,Io,Lifestealer,Chaos Knight,Marci,Pangolier,Sniper,Enchantress,Chen,Drow Ranger,Terrorblade,Keeper of the Light,Dark Willow,Disruptor,Primal Beast,Gyrocopter,Gaimin Gladiators vs BOOM Esports,PGL Wallachia Season 1 
700,Keeper of the Light,Lion,Mirana,Magnus,Lifestealer,Tidehunter,Faceless Void,Batrider,Kunkka,Shadow Demon,Centaur Warrunner,Mars,Dragon Knight,Enchantress,Io,Disruptor,Chen,Troll Warlord,Morphling,Beastmaster,Enigma,Timbersaw,Pangolier,Doom,BetBoom Team vs Team Spirit,PGL Wallachia Season 1 
701,Shadow Demon,Sven,Tiny,Enigma,Dragon Knight,Storm Spirit,Phoenix,Lifestealer,Lion,Centaur Warrunner,Pangolier,Sniper,Razor,Morphling,Enchantress,Batrider,Io,Leshrac,Timbersaw,Faceless Void,Keeper of the Light,Doom,Chen,Disruptor,BetBoom Team vs Team Spirit,PGL Wallachia Season 1 
702,Bane,Hoodwink,Mars,Morphling,Tiny,Naga Siren,Templar Assassin,Shadow Demon,Centaur Warrunner,Disruptor,Keeper of the Light,Zeus,Chaos Knight,Pangolier,Tusk,Io,Chen,Leshrac,Huskar,Enigma,Dark Willow,Kunkka,Primal Beast,Gyrocopter,BOOM Esports vs Shopify Rebellion,PGL Wallachia Season 1 
703,Io,Brewmaster,Dark Willow,Bristleback,Kunkka,Weaver,Enigma,Keeper of the Light,Tiny,Hoodwink,Faceless Void,Lifestealer,Mars,Elder Titan,Doom,Tusk,Chen,Puck,Zeus,Marci,Pangolier,Disruptor,Primal Beast,Gyrocopter,BOOM Esports vs Shopify Rebellion,PGL Wallachia Season 1 
